building_id,metric,model,MAE,CV(RMSE),delta_cvrmse_vs_seasonal_naive_pct
Bear_education_Lorie,power_active_kw,seasonal_naive_168h,25.4612,9.46,0.0
Bear_education_Lorie,power_active_kw,ridge_regression,17.244,5.78,-38.87
Bear_education_Mara,power_active_kw,seasonal_naive_168h,15.505,4.43,0.0
Bear_education_Mara,power_active_kw,ridge_regression,12.0642,3.56,-19.67
Bear_education_Marie,power_active_kw,seasonal_naive_168h,3.2787,33.45,0.0
Bear_education_Marie,power_active_kw,ridge_regression,3.6711,31.42,-6.07
Bear_education_Marsha,power_active_kw,seasonal_naive_168h,7.3422,16.1,0.0
Bear_education_Marsha,power_active_kw,ridge_regression,6.3579,13.06,-18.86
Bear_education_Marta,power_active_kw,seasonal_naive_168h,9.3088,36.43,0.0
Bear_education_Marta,power_active_kw,ridge_regression,7.9036,27.61,-24.21
Bear_education_Maryjane,power_active_kw,seasonal_naive_168h,48.7036,22.64,0.0
Bear_education_Maryjane,power_active_kw,ridge_regression,30.8164,12.3,-45.66
Bear_education_Merrill,power_active_kw,seasonal_naive_168h,3.1613,25.88,0.0
Bear_education_Merrill,power_active_kw,ridge_regression,3.1773,24.72,-4.45
Bear_education_Millie,power_active_kw,seasonal_naive_168h,0.3044,17.51,0.0
Bear_education_Millie,power_active_kw,ridge_regression,0.306,14.51,-17.1
Bear_education_Nanette,power_active_kw,seasonal_naive_168h,17.2813,24.33,0.0
Bear_education_Nanette,power_active_kw,ridge_regression,11.2821,14.77,-39.3
Bear_education_Oscar,power_active_kw,seasonal_naive_168h,1.3612,23.28,0.0
Bear_education_Oscar,power_active_kw,ridge_regression,1.2964,20.49,-12.0
Bear_education_Owen,power_active_kw,seasonal_naive_168h,14.916,19.74,0.0
Bear_education_Owen,power_active_kw,ridge_regression,17.7548,20.04,1.51
Bear_education_Paola,power_active_kw,seasonal_naive_168h,23.6743,23.77,0.0
Bear_education_Paola,power_active_kw,ridge_regression,19.8871,19.33,-18.64
Bear_education_Patricia,power_active_kw,seasonal_naive_168h,26.0761,5.54,0.0
Bear_education_Patricia,power_active_kw,ridge_regression,23.7609,4.84,-12.69
Bear_education_Pattie,power_active_kw,seasonal_naive_168h,11.2978,7.86,0.0
Bear_education_Pattie,power_active_kw,ridge_regression,9.7946,6.17,-21.61
Bear_education_Rebecca,power_active_kw,seasonal_naive_168h,37.2763,6.85,0.0
Bear_education_Rebecca,power_active_kw,ridge_regression,24.1297,4.38,-36.09
Bear_education_Sandy,power_active_kw,seasonal_naive_168h,0.9161,20.41,0.0
Bear_education_Sandy,power_active_kw,ridge_regression,0.9005,17.19,-15.76
Bear_education_Santos,power_active_kw,seasonal_naive_168h,2.7726,76.26,0.0
Bear_education_Santos,power_active_kw,ridge_regression,2.9657,60.66,-20.46
Bear_education_Sharon,power_active_kw,seasonal_naive_168h,6.0396,7.5,0.0
Bear_education_Sharon,power_active_kw,ridge_regression,5.4121,6.05,-19.25
Bear_education_Tara,power_active_kw,seasonal_naive_168h,0.8681,34.51,0.0
Bear_education_Tara,power_active_kw,ridge_regression,0.6876,26.17,-24.18
Bear_education_Thuy,power_active_kw,seasonal_naive_168h,34.6443,24.23,0.0
Bear_education_Thuy,power_active_kw,ridge_regression,30.2354,18.98,-21.66
Bear_education_Val,power_active_kw,seasonal_naive_168h,18.041,8.1,0.0
Bear_education_Val,power_active_kw,ridge_regression,19.511,8.16,0.74
Bear_education_Wade,power_active_kw,seasonal_naive_168h,8.2207,25.93,0.0
Bear_education_Wade,power_active_kw,ridge_regression,8.0703,20.75,-20.0
Bear_education_Wilton,power_active_kw,seasonal_naive_168h,137.3032,11.16,0.0
Bear_education_Wilton,power_active_kw,ridge_regression,117.8442,8.37,-24.95
Bear_education_Wm,power_active_kw,seasonal_naive_168h,4.9198,17.41,0.0
Bear_education_Wm,power_active_kw,ridge_regression,4.2036,13.99,-19.66
Bear_education_Yuri,power_active_kw,seasonal_naive_168h,3.597,44.51,0.0
Bear_education_Yuri,power_active_kw,ridge_regression,3.2843,39.17,-11.99
Bear_education_Yvette,power_active_kw,seasonal_naive_168h,2.9633,44.37,0.0
Bear_education_Yvette,power_active_kw,ridge_regression,2.5544,32.53,-26.69
Bear_education_Zandra,power_active_kw,seasonal_naive_168h,12.594,1.88,0.0
Bear_education_Zandra,power_active_kw,ridge_regression,20.8943,2.8,49.37
Bobcat_education_Alissa,power_active_kw,seasonal_naive_168h,8.7817,26.13,0.0
Bobcat_education_Alissa,power_active_kw,ridge_regression,9.4995,23.26,-10.98
Bobcat_education_Angela,power_active_kw,seasonal_naive_168h,9.1338,16.95,0.0
Bobcat_education_Angela,power_active_kw,ridge_regression,7.7371,13.7,-19.16
Bobcat_education_Coleman,power_active_kw,seasonal_naive_168h,11.9226,21.15,0.0
Bobcat_education_Coleman,power_active_kw,ridge_regression,11.5513,17.14,-18.96
Bobcat_education_Dylan,power_active_kw,seasonal_naive_168h,13.2672,16.13,0.0
Bobcat_education_Dylan,power_active_kw,ridge_regression,10.9032,12.59,-21.96
Bobcat_education_Hollis,power_active_kw,seasonal_naive_168h,15.8,21.21,0.0
Bobcat_education_Hollis,power_active_kw,ridge_regression,13.1991,16.11,-24.04
Bobcat_education_Jayne,power_active_kw,seasonal_naive_168h,9.7894,29.13,0.0
Bobcat_education_Jayne,power_active_kw,ridge_regression,9.3963,24.25,-16.75
Bobcat_education_Karin,power_active_kw,seasonal_naive_168h,10.0151,30.9,0.0
Bobcat_education_Karin,power_active_kw,ridge_regression,10.6698,34.12,10.43
Bobcat_education_Marisha,power_active_kw,seasonal_naive_168h,16.6158,31.53,0.0
Bobcat_education_Marisha,power_active_kw,ridge_regression,13.652,25.57,-18.88
Bobcat_education_Miki,power_active_kw,seasonal_naive_168h,1.6198,29.75,0.0
Bobcat_education_Miki,power_active_kw,ridge_regression,6.1097,87.91,195.48
Bobcat_education_Monte,power_active_kw,seasonal_naive_168h,3.0376,24.72,0.0
Bobcat_education_Monte,power_active_kw,ridge_regression,3.2005,21.72,-12.14
Bobcat_education_Rosalva,power_active_kw,seasonal_naive_168h,9.7416,22.02,0.0
Bobcat_education_Rosalva,power_active_kw,ridge_regression,7.652,16.44,-25.36
Bobcat_education_Toni,power_active_kw,seasonal_naive_168h,2.8871,21.89,0.0
Bobcat_education_Toni,power_active_kw,ridge_regression,2.438,17.06,-22.04
Bobcat_education_Whitney,power_active_kw,seasonal_naive_168h,49.7296,27.09,0.0
Bobcat_education_Whitney,power_active_kw,ridge_regression,51.649,23.34,-13.85
Bobcat_office_Alma,power_active_kw,seasonal_naive_168h,1.0877,49.01,0.0
Bobcat_office_Alma,power_active_kw,ridge_regression,0.9431,39.09,-20.25
Bobcat_office_Justine,power_active_kw,seasonal_naive_168h,6.9074,40.76,0.0
Bobcat_office_Justine,power_active_kw,ridge_regression,6.0511,34.02,-16.52
Bobcat_office_Kassandra,power_active_kw,seasonal_naive_168h,9.173,20.35,0.0
Bobcat_office_Kassandra,power_active_kw,ridge_regression,11.203,23.54,15.7
Bobcat_office_Melody,power_active_kw,seasonal_naive_168h,6.1206,16.55,0.0
Bobcat_office_Melody,power_active_kw,ridge_regression,4.0297,11.34,-31.5
Bobcat_office_Nikita,power_active_kw,seasonal_naive_168h,2.9787,19.37,0.0
Bobcat_office_Nikita,power_active_kw,ridge_regression,3.8412,18.13,-6.41
Bull_education_Annette,power_active_kw,seasonal_naive_168h,46.554,234.44,0.0
Bull_education_Annette,power_active_kw,ridge_regression,55.9658,170.69,-27.19
Bull_education_Antonia,power_active_kw,seasonal_naive_168h,125.6304,50.54,0.0
Bull_education_Antonia,power_active_kw,ridge_regression,87.0719,35.78,-29.21
Bull_education_Arthur,power_active_kw,seasonal_naive_168h,59.8394,36.22,0.0
Bull_education_Arthur,power_active_kw,ridge_regression,38.8754,24.4,-32.65
Bull_education_Barry,power_active_kw,seasonal_naive_168h,113.3007,35.8,0.0
Bull_education_Barry,power_active_kw,ridge_regression,65.3392,24.63,-31.19
Bull_education_Bernice,power_active_kw,seasonal_naive_168h,95.0509,148.97,0.0
Bull_education_Bernice,power_active_kw,ridge_regression,58.1332,99.01,-33.54
Bull_education_Brady,power_active_kw,seasonal_naive_168h,7.0219,42.4,0.0
Bull_education_Brady,power_active_kw,ridge_regression,6.1102,34.58,-18.46
Bull_education_Brain,power_active_kw,seasonal_naive_168h,54.0907,37.92,0.0
Bull_education_Brain,power_active_kw,ridge_regression,41.6731,27.78,-26.74
Bull_education_Brandi,power_active_kw,seasonal_naive_168h,7.3178,39.96,0.0
Bull_education_Brandi,power_active_kw,ridge_regression,5.4373,29.73,-25.6
Bull_education_Brenda,power_active_kw,seasonal_naive_168h,26.7434,37.42,0.0
Bull_education_Brenda,power_active_kw,ridge_regression,19.5507,25.53,-31.75
Bull_education_Bryon,power_active_kw,seasonal_naive_168h,6.4605,35.11,0.0
Bull_education_Bryon,power_active_kw,ridge_regression,5.2035,27.13,-22.72
Bull_education_Carl,power_active_kw,seasonal_naive_168h,81.1733,35.66,0.0
Bull_education_Carl,power_active_kw,ridge_regression,57.8486,23.98,-32.74
Bull_education_Clarice,power_active_kw,seasonal_naive_168h,4.6751,33.99,0.0
Bull_education_Clarice,power_active_kw,ridge_regression,3.7291,22.58,-33.58
Bull_education_Clarita,power_active_kw,seasonal_naive_168h,48.1475,35.88,0.0
Bull_education_Clarita,power_active_kw,ridge_regression,34.1336,25.39,-29.22
Bull_education_Dakota,power_active_kw,seasonal_naive_168h,11.7507,43.09,0.0
Bull_education_Dakota,power_active_kw,ridge_regression,9.7963,33.47,-22.32
Bull_education_Dan,power_active_kw,seasonal_naive_168h,27.9447,35.95,0.0
Bull_education_Dan,power_active_kw,ridge_regression,20.3546,25.18,-29.97
Bull_education_Dania,power_active_kw,seasonal_naive_168h,5.7042,34.05,0.0
Bull_education_Dania,power_active_kw,ridge_regression,4.9898,25.83,-24.14
Bull_education_Delia,power_active_kw,seasonal_naive_168h,274.9381,235.76,0.0
Bull_education_Delia,power_active_kw,ridge_regression,191.2544,166.42,-29.41
Bull_education_Dora,power_active_kw,seasonal_naive_168h,26.5579,42.76,0.0
Bull_education_Dora,power_active_kw,ridge_regression,19.7269,30.73,-28.14
Bull_education_Dottie,power_active_kw,seasonal_naive_168h,268.737,236.33,0.0
Bull_education_Dottie,power_active_kw,ridge_regression,608.1172,178.0,-24.68
Bull_education_Elva,power_active_kw,seasonal_naive_168h,8.0594,32.36,0.0
Bull_education_Elva,power_active_kw,ridge_regression,6.185,22.36,-30.89
Bull_education_Fabiola,power_active_kw,seasonal_naive_168h,34.3794,38.74,0.0
Bull_education_Fabiola,power_active_kw,ridge_regression,28.3279,29.42,-24.07
Bull_education_Geneva,power_active_kw,seasonal_naive_168h,8.7563,58.1,0.0
Bull_education_Geneva,power_active_kw,ridge_regression,7.4041,41.67,-28.28
Bull_education_Genie,power_active_kw,seasonal_naive_168h,22.8279,37.85,0.0
Bull_education_Genie,power_active_kw,ridge_regression,18.6023,28.97,-23.46
Bull_education_Gregory,power_active_kw,seasonal_naive_168h,11.7841,37.28,0.0
Bull_education_Gregory,power_active_kw,ridge_regression,9.3341,29.21,-21.67
Bull_education_Hayley,power_active_kw,seasonal_naive_168h,25.4358,35.6,0.0
Bull_education_Hayley,power_active_kw,ridge_regression,18.2718,25.16,-29.31
Bull_education_Jae,power_active_kw,seasonal_naive_168h,75.2896,36.19,0.0
Bull_education_Jae,power_active_kw,ridge_regression,42.5867,24.14,-33.29
Bull_education_Jeffery,power_active_kw,seasonal_naive_168h,127.0767,134.7,0.0
Bull_education_Jeffery,power_active_kw,ridge_regression,81.0738,89.3,-33.71
Bull_education_Joseph,power_active_kw,seasonal_naive_168h,19.8912,34.59,0.0
Bull_education_Joseph,power_active_kw,ridge_regression,16.1327,27.01,-21.91
Bull_education_Juan,power_active_kw,seasonal_naive_168h,48.6638,40.77,0.0
Bull_education_Juan,power_active_kw,ridge_regression,36.69,29.53,-27.57
Bull_education_Kendra,power_active_kw,seasonal_naive_168h,86.6022,37.44,0.0
Bull_education_Kendra,power_active_kw,ridge_regression,62.4677,25.15,-32.83
Bull_education_Krista,power_active_kw,seasonal_naive_168h,44.8993,37.12,0.0
Bull_education_Krista,power_active_kw,ridge_regression,37.0643,27.39,-26.21
Bull_education_Kristal,power_active_kw,seasonal_naive_168h,49.9597,35.11,0.0
Bull_education_Kristal,power_active_kw,ridge_regression,35.4309,24.7,-29.65
Bull_education_Lenny,power_active_kw,seasonal_naive_168h,6.2637,35.63,0.0
Bull_education_Lenny,power_active_kw,ridge_regression,3.884,22.03,-38.16
Bull_education_Linnie,power_active_kw,seasonal_naive_168h,46.1508,45.54,0.0
Bull_education_Linnie,power_active_kw,ridge_regression,37.0343,33.16,-27.19
Bull_education_Luke,power_active_kw,seasonal_naive_168h,59.7732,40.03,0.0
Bull_education_Luke,power_active_kw,ridge_regression,46.9608,28.9,-27.82
Bull_education_Lydia,power_active_kw,seasonal_naive_168h,18.1452,35.18,0.0
Bull_education_Lydia,power_active_kw,ridge_regression,13.7514,25.93,-26.3
Bull_education_Lyn,power_active_kw,seasonal_naive_168h,6.1721,45.24,0.0
Bull_education_Lyn,power_active_kw,ridge_regression,4.7935,33.24,-26.52
Bull_education_Magaret,power_active_kw,seasonal_naive_168h,22.2403,46.82,0.0
Bull_education_Magaret,power_active_kw,ridge_regression,16.1566,32.04,-31.56
Bull_education_Mario,power_active_kw,seasonal_naive_168h,20.8158,41.87,0.0
Bull_education_Mario,power_active_kw,ridge_regression,18.9833,33.07,-21.01
Bull_education_Matilda,power_active_kw,seasonal_naive_168h,34.1392,121.42,0.0
Bull_education_Matilda,power_active_kw,ridge_regression,20.8611,84.1,-30.73
Bull_education_Mervin,power_active_kw,seasonal_naive_168h,37.6177,37.24,0.0
Bull_education_Mervin,power_active_kw,ridge_regression,25.2392,25.96,-30.29
Bull_education_Miquel,power_active_kw,seasonal_naive_168h,49.6413,40.51,0.0
Bull_education_Miquel,power_active_kw,ridge_regression,40.6577,30.9,-23.73
Bull_education_Miranda,power_active_kw,seasonal_naive_168h,30.3708,39.05,0.0
Bull_education_Miranda,power_active_kw,ridge_regression,20.8699,27.37,-29.9
Bull_education_Myra,power_active_kw,seasonal_naive_168h,13.9165,48.6,0.0
Bull_education_Myra,power_active_kw,ridge_regression,10.1478,32.64,-32.85
Bull_education_Nichole,power_active_kw,seasonal_naive_168h,30.9367,35.4,0.0
Bull_education_Nichole,power_active_kw,ridge_regression,25.5352,27.03,-23.67
Bull_education_Nina,power_active_kw,seasonal_naive_168h,37.8417,36.32,0.0
Bull_education_Nina,power_active_kw,ridge_regression,23.7242,24.31,-33.06
Bull_education_Nolan,power_active_kw,seasonal_naive_168h,11.3097,33.01,0.0
Bull_education_Nolan,power_active_kw,ridge_regression,8.1601,23.78,-27.97
Bull_education_Olive,power_active_kw,seasonal_naive_168h,19.2101,42.7,0.0
Bull_education_Olive,power_active_kw,ridge_regression,15.7778,32.97,-22.78
Bull_education_Pablo,power_active_kw,seasonal_naive_168h,8.7513,39.62,0.0
Bull_education_Pablo,power_active_kw,ridge_regression,6.7749,29.77,-24.86
Bull_education_Pamela,power_active_kw,seasonal_naive_168h,26.8474,35.54,0.0
Bull_education_Pamela,power_active_kw,ridge_regression,20.6165,25.62,-27.9
Bull_education_Patrina,power_active_kw,seasonal_naive_168h,6.4614,49.24,0.0
Bull_education_Patrina,power_active_kw,ridge_regression,4.4258,32.02,-34.97
Bull_education_Racheal,power_active_kw,seasonal_naive_168h,83.1197,35.89,0.0
Bull_education_Racheal,power_active_kw,ridge_regression,58.6016,25.69,-28.4
Bull_education_Reina,power_active_kw,seasonal_naive_168h,16.8146,39.64,0.0
Bull_education_Reina,power_active_kw,ridge_regression,12.2986,26.9,-32.15
Bull_education_Reynaldo,power_active_kw,seasonal_naive_168h,8.3789,37.46,0.0
Bull_education_Reynaldo,power_active_kw,ridge_regression,5.6411,25.09,-33.03
Bull_education_Roland,power_active_kw,seasonal_naive_168h,46.5878,40.63,0.0
