variant,fold,model,cv_rmse,nmbe,r_squared
raw,1,dow_median,17.674241413073403,-1.2652080870924283,-0.07346608292092571
raw,1,overall_median,17.861849490831588,-1.7241779239573294,-0.09637623370023207
bdg2_cleaned,1,dow_median,17.674241413073403,-1.2652080870924283,-0.07346608292092571
bdg2_cleaned,1,overall_median,17.861849490831588,-1.7241779239573294,-0.09637623370023207
our_cleaned,1,dow_median,7.287973902210347,0.9172977505648865,0.21767163566446568
our_cleaned,1,overall_median,7.751106975500563,0.37619833101835354,0.11508222151068515
