date,day_of_week,month,actual_kWh,pred_dow_median,residual_dow_median,pred_overall_median,residual_overall_median
2017-12-06,2,12,54236.94,56801.55,-2564.6100000000006,55420.98,-1184.0400000000009
2017-12-07,3,12,53373.42,57355.56,-3982.1399999999994,55407.39,-2033.9700000000012
2017-12-08,4,12,55777.44,54819.08,958.3600000000006,55371.14,406.3000000000029
2017-12-09,5,12,53990.920000000006,52141.01,1849.9100000000035,55448.93,-1458.0099999999948
2017-12-10,6,12,52408.81,51320.54,1088.2699999999968,55010.93,-2602.1200000000026
2017-12-11,0,12,54757.57,56295.55,-1537.9800000000032,54619.18,138.38999999999942
2017-12-12,1,12,55554.97,57012.85,-1457.8799999999974,54660.63,894.3400000000038
2017-12-13,2,12,58265.95,55828.3,2437.649999999994,54827.43,3438.519999999997
2017-12-14,3,12,54760.48,56070.38,-1309.8999999999942,54890.36,-129.87999999999738
2017-12-15,4,12,58032.67,55085.51,2947.159999999996,54905.11,3127.5599999999977
2017-12-17,6,12,48546.29,51523.75,-2977.459999999999,54945.35,-6399.059999999998
2017-12-18,0,12,52627.58,55441.27,-2813.689999999995,54750.79,-2123.209999999999
2017-12-19,1,12,51564.53,56293.85,-4729.32,54570.08,-3005.550000000003
2017-12-20,2,12,51453.46,56969.79,-5516.330000000002,54530.12,-3076.6600000000035
2017-12-21,3,12,52174.06,55312.75,-3138.6900000000023,54418.28,-2244.220000000001
2017-12-22,4,12,53404.74,55271.18,-1866.4400000000023,54352.44,-947.7000000000044
2017-12-23,5,12,51616.36,54295.98,-2679.6200000000026,54228.13,-2611.769999999997
2017-12-24,6,12,48368.11,49723.34,-1355.229999999996,53832.56,-5464.449999999997
2017-12-26,1,12,56892.46,54933.67,1958.7900000000009,53472.58,3419.8799999999974
2017-12-27,2,12,58921.39,56089.91,2831.479999999996,53766.55,5154.8399999999965
2017-12-28,3,12,62559.66,54166.21,8393.450000000004,53797.09,8762.570000000007
2017-12-29,4,12,61132.70999999999,54750.13,6382.5799999999945,53856.87,7275.839999999989
2017-12-30,5,12,59458.94,53014.97,6443.970000000001,53909.16,5549.779999999999
2017-12-31,6,12,61365.52,48687.83,12677.689999999995,53928.46,7437.059999999998
