building_id,metric,model_selected,MAE,CV(RMSE),cvrmse_seasonal_naive,delta_cvrmse_pct,med_ae
Bobcat_education_Alissa,cooling_kw,ridge_regression,4.9659,217.14,299.3,-27.45,1.5416
Bobcat_education_Alissa,power_active_kw,ridge_regression,9.4995,23.26,26.13,-10.98,7.1227
Bobcat_education_Angela,cooling_kw,ridge_regression,31.906,60.51,83.21,-27.28,25.0418
Bobcat_education_Angela,power_active_kw,ridge_regression,7.7371,13.7,16.95,-19.16,4.4872
Bobcat_education_Coleman,power_active_kw,ridge_regression,11.5513,17.14,21.15,-18.96,6.4633
Bobcat_education_Dylan,power_active_kw,ridge_regression,10.9032,12.59,16.13,-21.96,7.4678
Bobcat_education_Hollis,power_active_kw,ridge_regression,13.1991,16.11,21.21,-24.04,9.048
Bobcat_education_Jayne,power_active_kw,ridge_regression,9.3963,24.25,29.13,-16.75,4.7578
Bobcat_education_Karin,power_active_kw,seasonal_naive_168h,10.0151,30.9,30.9,10.43,5.622
Bobcat_education_Marisha,power_active_kw,ridge_regression,13.652,25.57,31.53,-18.88,9.7911
Bobcat_education_Miki,cooling_kw,ridge_regression,48.5172,158.1,223.96,-29.41,19.9476
Bobcat_education_Miki,power_active_kw,seasonal_naive_168h,1.6198,29.75,29.75,195.48,5.5529
Bobcat_education_Monte,power_active_kw,ridge_regression,3.2005,21.72,24.72,-12.14,1.9318
Bobcat_education_Rosalva,cooling_kw,ridge_regression,27.5194,67.7,85.4,-20.73,18.8679
Bobcat_education_Rosalva,power_active_kw,ridge_regression,7.652,16.44,22.02,-25.36,4.0548
Bobcat_education_Toni,power_active_kw,ridge_regression,2.438,17.06,21.89,-22.04,1.3874
Bobcat_education_Whitney,power_active_kw,ridge_regression,51.649,23.34,27.09,-13.85,35.0064
Bobcat_office_Alma,power_active_kw,ridge_regression,0.9431,39.09,49.01,-20.25,0.7188
Bobcat_office_Justine,power_active_kw,ridge_regression,6.0511,34.02,40.76,-16.52,4.3685
Bobcat_office_Kassandra,power_active_kw,seasonal_naive_168h,9.173,20.35,20.35,15.7,7.9438
Bobcat_office_Melody,power_active_kw,ridge_regression,4.0297,11.34,16.55,-31.5,2.8523
Bobcat_office_Nikita,power_active_kw,ridge_regression,3.8412,18.13,19.37,-6.41,2.8469
Bull_education_Annette,cooling_kw,ridge_regression,66.5988,62.63,126.42,-50.46,54.4924
Bull_education_Annette,power_active_kw,ridge_regression,55.9658,170.69,234.44,-27.19,33.6019
Bull_education_Antonia,cooling_kw,ridge_regression,111.1211,50.18,78.67,-36.22,65.2226
Bull_education_Antonia,power_active_kw,ridge_regression,87.0719,35.78,50.54,-29.21,35.9895
Bull_education_Arthur,cooling_kw,ridge_regression,62.4044,42.55,79.89,-46.74,46.2656
Bull_education_Arthur,power_active_kw,ridge_regression,38.8754,24.4,36.22,-32.65,14.3592
Bull_education_Barry,cooling_kw,ridge_regression,252.7736,175.84,257.47,-31.7,121.0845
Bull_education_Barry,power_active_kw,ridge_regression,65.3392,24.63,35.8,-31.19,11.4765
Bull_education_Bernice,cooling_kw,ridge_regression,121.3511,140.42,250.95,-44.05,63.3827
Bull_education_Bernice,power_active_kw,ridge_regression,58.1332,99.01,148.97,-33.54,11.1478
Bull_education_Brady,power_active_kw,ridge_regression,6.1102,34.58,42.4,-18.46,2.9908
Bull_education_Brain,cooling_kw,ridge_regression,123.6593,75.54,128.53,-41.23,82.2905
Bull_education_Brain,power_active_kw,ridge_regression,41.6731,27.78,37.92,-26.74,14.4646
Bull_education_Brandi,power_active_kw,ridge_regression,5.4373,29.73,39.96,-25.6,3.2492
Bull_education_Brenda,cooling_kw,ridge_regression,73.5359,108.9,162.64,-33.04,43.9629
Bull_education_Brenda,power_active_kw,ridge_regression,19.5507,25.53,37.42,-31.75,11.2958
Bull_education_Bryon,cooling_kw,ridge_regression,12.27,119.99,203.74,-41.11,7.709
Bull_education_Bryon,power_active_kw,ridge_regression,5.2035,27.13,35.11,-22.72,2.8342
Bull_education_Carl,cooling_kw,ridge_regression,211.5196,122.14,176.38,-30.75,137.2672
Bull_education_Carl,power_active_kw,ridge_regression,57.8486,23.98,35.66,-32.74,27.4946
