entity_id,detector,start,end,duration_h,peak_score,peak_ts,scope,type,group,matches_label
Bull_office_Chantel,profile_band_sustained,2017-07-19 02:00:00,2017-07-20 11:00:00,34,3.617890217171141,2017-07-20 06:00:00,interval,sustained_high,A,False
Bull_office_Chantel,profile_band,2017-07-19 06:00:00,2017-07-19 06:00:00,1,5.05338078291815,2017-07-19 06:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-07-20 02:00:00,2017-07-20 03:00:00,2,4.964251989747741,2017-07-20 03:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band_sustained+profile_band,2017-07-20 17:00:00,2017-07-21 05:00:00,13,6.263128480854098,2017-07-20 21:00:00,interval,after_hours,A,False
Bull_office_Chantel,profile_band,2017-07-21 02:00:00,2017-07-21 02:00:00,1,4.384189936597869,2017-07-21 02:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band_sustained+profile_band,2017-07-21 09:00:00,2017-07-22 17:00:00,33,6.6029095401393,2017-07-22 09:00:00,interval,after_hours,A,False
Bull_office_Chantel,profile_band,2017-07-21 10:00:00,2017-07-21 10:00:00,1,4.046944556859572,2017-07-21 10:00:00,point,spike,A,False
Bull_office_Chantel,profile_band,2017-07-21 18:00:00,2017-07-21 18:00:00,1,4.1853016357265656,2017-07-21 18:00:00,point,spike,A,False
Bull_office_Chantel,profile_band,2017-07-21 21:00:00,2017-07-21 21:00:00,1,4.239656202424313,2017-07-21 21:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-07-22 13:00:00,2017-07-22 13:00:00,1,4.111181772047819,2017-07-22 13:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band_sustained,2017-07-25 09:00:00,2017-07-26 05:00:00,21,3.477487371452614,2017-07-25 23:00:00,interval,after_hours,A,False
Bull_office_Chantel,profile_band,2017-07-25 18:00:00,2017-07-25 18:00:00,1,4.1456505216610235,2017-07-25 18:00:00,point,spike,A,False
Bull_office_Chantel,profile_band,2017-07-25 21:00:00,2017-07-25 21:00:00,1,4.245324191999746,2017-07-25 21:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-07-29 13:00:00,2017-07-29 13:00:00,1,4.4019396934262005,2017-07-29 13:00:00,point,after_hours,A,False
Bull_office_Chantel,profile_band,2017-08-08 13:00:00,2017-08-08 13:00:00,1,15.932565507636328,2017-08-08 13:00:00,point,spike,A,False
