event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
LG-00483,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-12-03 16:00:00,2017-12-03 22:00:00,2017-12-03 18:00:00,7,9.744,0.094,10265.96,11.42,67.6,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00484,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-04 21:00:00,2017-12-04 21:00:00,2017-12-04 21:00:00,1,12.332,0.017,72441.18,7.4,12.3,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00485,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-05 23:00:00,2017-12-06 00:00:00,2017-12-06 00:00:00,2,8.571,-0.257,-3435.02,10.73,17.7,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00486,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,high_consumption,warning,lgbm_quantile_band,2017-12-08 14:00:00,2017-12-08 18:00:00,2017-12-08 16:00:00,5,11.619,1.5,674.6,11.94,51.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00487,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-08 21:00:00,2017-12-08 21:00:00,2017-12-08 21:00:00,1,7.207,0.052,13759.62,5.78,7.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00488,DQ_quality,M2_cooling,Peacock_office_Julian,cooling_kw,data_loss,warning,dq_gap>=3h,2017-12-12 02:00:00,2017-12-12 06:00:00,2017-12-12 04:00:00,5,,,,,,,,1,natural,
LG-00489,DQ_quality,M2_cooling,Peacock_office_Julian,cooling_kw,data_loss,warning,dq_gap>=3h,2017-12-13 02:00:00,2017-12-13 06:00:00,2017-12-13 04:00:00,5,,,,,,,,1,natural,
LG-00490,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-13 21:00:00,2017-12-13 22:00:00,2017-12-13 21:00:00,2,12.454,0.006,207466.67,16.42,24.9,month cross-fit (other 11 months of 2017),,1,natural,
LG-00491,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,high_consumption,warning,lgbm_quantile_band,2017-12-14 16:00:00,2017-12-14 18:00:00,2017-12-14 18:00:00,3,11.536,1.098,950.64,8.21,32.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00492,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-14 21:00:00,2017-12-14 22:00:00,2017-12-14 22:00:00,2,8.1,-0.004,-202600.0,8.33,16.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00493,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-12-16 16:00:00,2017-12-16 18:00:00,2017-12-16 18:00:00,3,5.019,0.393,1177.1,5.11,13.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00494,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-17 12:00:00,2017-12-17 12:00:00,2017-12-17 12:00:00,1,7.542,0.233,3136.91,5.91,7.3,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00495,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-17 18:00:00,2017-12-17 18:00:00,2017-12-17 18:00:00,1,12.577,0.034,36891.18,10.14,12.5,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00496,DQ_quality,M2_cooling,Peacock_office_Julian,cooling_kw,data_loss,warning,dq_gap>=3h,2017-12-19 03:00:00,2017-12-19 06:00:00,2017-12-19 05:00:00,4,,,,,,,,1,natural,
LG-00497,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-20 22:00:00,2017-12-20 22:00:00,2017-12-20 22:00:00,1,7.657,-0.071,-10884.51,5.29,7.7,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00498,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-12-24 16:00:00,2017-12-24 18:00:00,2017-12-24 18:00:00,3,5.459,0.012,45391.67,5.48,16.3,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00499,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-12-26 19:00:00,2017-12-26 21:00:00,2017-12-26 21:00:00,3,4.193,0.045,9217.78,4.77,12.6,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00500,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-27 17:00:00,2017-12-27 17:00:00,2017-12-27 17:00:00,1,9.874,0.097,10079.38,5.43,9.8,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00501,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,spike,warning,lgbm_quantile_band,2017-12-30 18:00:00,2017-12-30 18:00:00,2017-12-30 18:00:00,1,35.865,1.346,2564.56,27.91,34.5,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00502,A_consumption,M2_cooling,Peacock_office_Julian,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-12-31 09:00:00,2017-12-31 12:00:00,2017-12-31 11:00:00,4,4.244,0.009,47055.56,5.99,16.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00503,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-04 00:00:00,2017-01-04 06:00:00,2017-01-04 02:00:00,7,51.284,36.144,41.89,4.86,106.0,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00504,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-09 17:00:00,2017-01-10 06:00:00,2017-01-09 19:00:00,14,70.113,56.425,24.26,6.51,191.6,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00505,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-01-10 11:00:00,2017-01-10 17:00:00,2017-01-10 13:00:00,7,99.336,82.04,21.08,4.58,121.1,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00506,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-17 22:00:00,2017-01-18 06:00:00,2017-01-18 00:00:00,9,52.309,36.343,43.93,5.57,143.7,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00507,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-19 00:00:00,2017-01-19 02:00:00,2017-01-19 02:00:00,3,44.643,34.93,27.81,5.03,29.1,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00508,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-27 10:00:00,2017-01-27 14:00:00,2017-01-27 12:00:00,5,77.46,62.32,24.29,6.01,75.7,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00509,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-30 10:00:00,2017-01-30 18:00:00,2017-01-30 12:00:00,9,80.521,58.925,36.65,7.42,194.4,month cross-fit (other 11 months of 2017),,1,false_positive,
